game,iter,frames,score_vs_baseline
othello,1000,131072000,0.337
othello,2000,262144000,0.420
othello,3000,393216000,0.583
othello,4000,524288000,0.613
othello,5000,655360000,0.689
othello,6000,786432000,0.692
othello,7000,917504000,0.616
othello,8000,1048576000,0.691
hex,1000,131072000,0.457
hex,2000,262144000,0.691
hex,3000,393216000,0.762
hex,4000,524288000,0.793
hex,5000,655360000,0.797
hex,6000,786432000,0.820
hex,7000,917504000,0.811
hex,8000,1048576000,0.822
go_9x9,1000,131072000,0.328
go_9x9,2000,262144000,0.566
go_9x9,3000,393216000,0.662
go_9x9,4000,524288000,0.760
go_9x9,5000,655360000,0.781
go_9x9,6000,786432000,0.797
go_9x9,7000,917504000,0.811
go_9x9,8000,1048576000,0.791
